@RELATION
@ATTRIBUTE percent_diacritics_ogonek Continuous
@ATTRIBUTE avg_words_per_sentence Continuous
@ATTRIBUTE percent_diacritics_grave Continuous
@ATTRIBUTE vowel_cluster_size Continuous
@ATTRIBUTE consonant_cluster_size Continuous
@ATTRIBUTE percent_diacritics_ring_above Continuous
@ATTRIBUTE percent_diacritics_tilde Continuous
@ATTRIBUTE percent_diacritics_breve Continuous
@ATTRIBUTE avg_chars_per_word Continuous
@ATTRIBUTE percent_diacritics_horn Continuous
@ATTRIBUTE percent_diacritics_acute Continuous
@ATTRIBUTE percent_diacritics_hook_above Continuous
@ATTRIBUTE percent_diacritics_circumflex Continuous
@ATTRIBUTE percent_latin Continuous
@ATTRIBUTE percent_diacritics_caron Continuous
@ATTRIBUTE percent_diacritics_dot_below Continuous
@ATTRIBUTE percent_diacritics_macron Continuous
@ATTRIBUTE percent_diacritics_cedilla Continuous
@ATTRIBUTE percent_greek Continuous
@ATTRIBUTE percent_diacritics_diaeresis Continuous
@ATTRIBUTE avg_diacritics_per_word Continuous
@ATTRIBUTE percent_cyrillic Continuous
@ATTRIBUTE percent_arabic Continuous
@ATTRIBUTE language { GREEK, DUTCH, BOSNIAN, UKRAINIAN, VIETNAMESE, NORWEGIAN, CZECH, AFRIKAANS, RUSSIAN, WELSH, GAELIC, ESPERANTO, ARABIC, FRENCH, SWAHILI, TAGALOG, PORTUGUESE, FINNISH, ITALIAN, SPANISH, POLISH, DANISH, GERMAN, KURDISH, SERBIAN, SWEDISH, ENGLISH }
@DATA
0.0, 7.0, 0.0, 1.0, 1.55555555556, 0.0, 0.0, 0.0, 2.71428571429, 0.0, 1.0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.285714285714, 0, 0, GREEK
0.0, 6.0, 0.0, 1.6, 2.0, 0.0, 0.0, 0.0, 3.5, 0.0, 1.0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.166666666667, 0, 0, GREEK
0.0, 6.0, 0.0, 1.66666666667, 1.57142857143, 0.0, 0.0, 0.0, 2.5, 0.0, 1.0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.166666666667, 0, 0, GREEK
0.0, 9.0, 0.0, 1.09090909091, 1.33333333333, 0.0, 0.0, 0.0, 3.66666666667, 0.0, 1.0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.333333333333, 0, 0, GREEK
0.0, 6.0, 0.0, 1.0, 1.75, 0.0, 0.0, 0.0, 2.83333333333, 0.0, 1.0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.166666666667, 0, 0, GREEK
0.0, 6.0, 0.0, 1.0, 1.4, 0.0, 0.0, 0.0, 3.16666666667, 0.0, 1.0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.166666666667, 0, 0, GREEK
0, 14.0, 0, 1.28846153846, 1.39705882353, 0, 0, 0, 5.78571428571, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, DUTCH
0, 14.0, 0, 1.03125, 1.72222222222, 0, 0, 0, 6.78571428571, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, BOSNIAN
0.0, 11.0, 0.0, 1.05970149254, 1.51948051948, 0.0, 0.0, 0.0, 5.60606060606, 0.0, 0.333333333333, 0.0, 0.0, 1.0, 0.666666666667, 0.0, 0.0, 0.0, 0, 0.0, 0.0909090909091, 0, 0, BOSNIAN
0.0, 3.33333333333, 0.0, 1.05882352941, 2.06666666667, 0.0, 0.0, 0.0, 4.8, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 0.0, 0.1, 0, 0, BOSNIAN
0, 3.0, 0, 1.08333333333, 1.4, 0, 0, 0, 9.0, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, BOSNIAN
0.0, 10.0, 0.0, 1.0, 6.26666666667, 0.0, 0.0, 0.4, 9.4, 0.0, 0.4, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0, 0.2, 0.5, 0.9, 0, UKRAINIAN
0, 6.0, 0, 1.0, 3.7, 0, 0, 0, 7.16666666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1.0, 0, UKRAINIAN
0, 7.0, 0, 1.0, 3.8, 0, 0, 0, 5.85714285714, 0, 0, 0, 0, 0.571428571429, 0, 0, 0, 0, 0, 0, 0.0, 0.857142857143, 0, UKRAINIAN
0.0, 1.75, 0.0, 1.09090909091, 5.1875, 0.0, 0.0, 0.0, 13.4285714286, 0.0, 0.0, 0.0, 0.0, 0.714285714286, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0.142857142857, 0.428571428571, 0, UKRAINIAN
0.0, 4.0, 0.0, 1.0, 3.7, 0.0, 0.0, 1.0, 10.5, 0.0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0.0, 0.5, 1.0, 0, UKRAINIAN
0.0, 3.0, 0.0, 1.0, 4.83333333333, 0.0, 0.0, 0.0, 10.6666666667, 0.0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0.333333333333, 1.0, 0, UKRAINIAN
0.0, 11.0, 0.173913043478, 1.15151515152, 1.52, 0.0, 0.0, 0.0434782608696, 4.13636363636, 0.217391304348, 0.173913043478, 0.0434782608696, 0.0869565217391, 1.0, 0.0, 0.260869565217, 0.0, 0.0, 0, 0.0, 1.04545454545, 0, 0, VIETNAMESE
0.0, 16.0, 0.0, 1.0, 1.55882352941, 1.0, 0.0, 0.0, 4.875, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0.0, 0.0625, 0, 0, NORWEGIAN
0, 2.5, 0, 1.0, 2.22222222222, 0, 0, 0, 5.0, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, NORWEGIAN
0.0, 4.33333333333, 0.0, 1.0, 1.44827586207, 1.0, 0.0, 0.0, 4.84615384615, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0.0, 0.0769230769231, 0, 0, NORWEGIAN
0, 2.5, 0, 1.0, 2.22222222222, 0, 0, 0, 5.0, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, NORWEGIAN
0.0, 8.5, 0.0, 1.0652173913, 1.69811320755, 0.0, 0.0, 0.0, 7.11764705882, 0.0, 0.611111111111, 0.0, 0.0, 1.0, 0.388888888889, 0.0, 0.0, 0.0, 0, 0.0, 1.05882352941, 0, 0, CZECH
0.0, 7.0, 0.0, 1.0, 1.5625, 0.0, 0.0, 0.0, 4.85714285714, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0.0, 0.142857142857, 0, 0, CZECH
0.0, 6.5, 0.0, 1.0, 1.66666666667, 0.0, 0.0, 0.0, 5.38461538462, 0.0, 0.636363636364, 0.0, 0.0, 1.0, 0.363636363636, 0.0, 0.0, 0.0, 0, 0.0, 0.846153846154, 0, 0, CZECH
0.0, 2.0, 0.0, 1.09090909091, 2.84210526316, 0.0, 0.0, 0.0, 6.5, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 0.0, 0.1, 0, 0, CZECH
0.0, 4.0, 0.0, 1.05263157895, 1.57142857143, 0.0, 0.0, 0.0, 11.75, 0.0, 0.5, 0.0, 0.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0, 0.0, 1.5, 0, 0, CZECH
0.0, 4.0, 0.0, 1.04761904762, 1.81818181818, 0.0, 0.0, 0.0, 13.5, 0.0, 0.625, 0.0, 0.0, 1.0, 0.375, 0.0, 0.0, 0.0, 0, 0.0, 2.0, 0, 0, CZECH
0.0, 1.5, 0.0, 1.1, 1.41666666667, 0.0, 0.0, 0.0, 8.33333333333, 0.0, 0.666666666667, 0.0, 0.0, 1.0, 0.333333333333, 0.0, 0.0, 0.0, 0, 0.0, 1.0, 0, 0, CZECH
0.0, 5.0, 0.0, 1.07142857143, 1.29411764706, 0.0, 0.0, 0.0, 6.8, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0.0, 0.6, 0, 0, CZECH
0, 20.0, 0, 1.34615384615, 1.31034482759, 0, 0, 0, 3.65, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, AFRIKAANS
0, 13.0, 0, 1.21052631579, 1.15384615385, 0, 0, 0, 4.07692307692, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, AFRIKAANS
0, 2.0, 0, 1.16666666667, 1.25, 0, 0, 0, 14.5, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, AFRIKAANS
0, 3.0, 0, 1.125, 1.6, 0, 0, 0, 8.33333333333, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, AFRIKAANS
0, 12.0, 0, 1.2962962963, 1.4696969697, 0, 0, 0, 6.95833333333, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, AFRIKAANS
0, 6.0, 0, 1.11111111111, 1.25, 0, 0, 0, 4.16666666667, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, AFRIKAANS
0, 4.0, 0, 1.25, 1.5, 0, 0, 0, 9.0, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0.0, 0, 0, AFRIKAANS
