@RELATION
@ATTRIBUTE vowel_cluster_size Continuous
@ATTRIBUTE consonant_cluster_size Continuous
@ATTRIBUTE avg_words_per_sentence Continuous
@ATTRIBUTE avg_chars_per_word Continuous
@ATTRIBUTE percent_latin Continuous
@ATTRIBUTE percent_arabic Continuous
@ATTRIBUTE percent_cyrillic Continuous
@ATTRIBUTE percent_greek Continuous
@ATTRIBUTE language { GREEK, DUTCH, BOSNIAN, UKRAINIAN, VIETNAMESE, NORWEGIAN, CZECH, AFRIKAANS, RUSSIAN, WELSH, GAELIC, ESPERANTO, ARABIC, FRENCH, SWAHILI, TAGALOG, PORTUGUESE, FINNISH, ITALIAN, SPANISH, POLISH, DANISH, GERMAN, KURDISH, SERBIAN, SWEDISH, ENGLISH }
@DATA
1.0375, 1.60747663551, 16.0, 5.1875, 1.0, 0, 0, 0, DANISH
1.02040816327, 1.51612903226, 12.0, 6.0, 1.0, 0, 0, 0, DANISH
1.03571428571, 2.28947368421, 2.66666666667, 7.25, 1.0, 0, 0, 0, DANISH
1.0, 1.42857142857, 5.0, 9.8, 1.0, 0, 0, 0, DANISH
1.075, 1.64150943396, 26.0, 5.0, 1.0, 0, 0, 0, ENGLISH
1.0875, 1.45, 20.5, 5.65853658537, 1.0, 0, 0, 0, ENGLISH
1.2, 1.88888888889, 4.0, 5.75, 1.0, 0, 0, 0, ENGLISH
1.0, 2.11111111111, 5.0, 5.0, 1.0, 0, 0, 0, ENGLISH
1.125, 1.41666666667, 5.0, 5.2, 1.0, 0, 0, 0, ENGLISH
1.375, 1.5, 5.0, 5.8, 1.0, 0, 0, 0, ENGLISH
1.28571428571, 1.90909090909, 5.0, 6.0, 1.0, 0, 0, 0, ENGLISH
1.11111111111, 1.61538461538, 5.0, 6.2, 1.0, 0, 0, 0, ENGLISH
1.42857142857, 1.72727272727, 5.0, 5.8, 1.0, 0, 0, 0, ENGLISH
1.16666666667, 1.7, 8.5, 7.41176470588, 1.0, 0, 0, 0, GERMAN
1.17647058824, 1.76, 7.0, 4.42857142857, 1.0, 0, 0, 0, GERMAN
1.1935483871, 1.40476190476, 10.5, 4.47619047619, 1.0, 0, 0, 0, GERMAN
1.17391304348, 1.51724137931, 7.66666666667, 6.17391304348, 1.0, 0, 0, 0, GERMAN
1.25, 2.33333333333, 4.5, 3.66666666667, 1.0, 0, 0, 0, GERMAN
1.25, 2.23076923077, 3.33333333333, 3.4, 1.0, 0, 0, 0, GERMAN
1.0, 2.0625, 4.0, 5.375, 1.0, 0, 0, 0, GERMAN
1.0, 2.07142857143, 4.0, 4.5, 1.0, 0, 0, 0, GERMAN
1.18518518519, 2.12903225806, 1.66666666667, 9.7, 1.0, 0, 0, 0, GERMAN
1.15384615385, 1.26666666667, 2.0, 16.5, 1.0, 0, 0, 0, GERMAN
1.15384615385, 1.53333333333, 2.0, 18.5, 1.0, 0, 0, 0, GERMAN
1.30769230769, 1.26666666667, 2.0, 18.0, 1.0, 0, 0, 0, GERMAN
1.13953488372, 1.41176470588, 17.0, 7.0, 1.0, 0, 0, 0, GAELIC
1.09090909091, 1.16666666667, 17.0, 5.94117647059, 1.0, 0, 0, 0, GAELIC
1.07692307692, 1.25, 4.0, 7.0, 1.0, 0, 0, 0, GAELIC
1.21052631579, 1.41935483871, 27.0, 5.66666666667, 1.0, 0, 0, 0, GAELIC
1.25, 1.26666666667, 8.0, 4.125, 1.0, 0, 0, 0, GAELIC
1.09375, 1.35416666667, 14.0, 5.35714285714, 1.0, 0, 0, 0, GAELIC
1.11764705882, 1.31404958678, 17.3333333333, 5.40384615385, 1.0, 0, 0, 0, GAELIC
1.17647058824, 1.30681818182, 42.0, 5.0, 1.0, 0, 0, 0, GAELIC
1.11428571429, 1.34931506849, 29.5, 5.81355932203, 1.0, 0, 0, 0, GAELIC
1.11956521739, 1.31683168317, 39.5, 5.89873417722, 1.0, 0, 0, 0, GAELIC
1.15053763441, 1.4606741573, 46.0, 4.95652173913, 1.0, 0, 0, 0, GAELIC
1.14583333333, 1.47058823529, 39.0, 6.48717948718, 1.0, 0, 0, 0, GAELIC
1.06896551724, 1.46666666667, 11.0, 6.45454545455, 1.0, 0, 0, 0, GAELIC
1.07142857143, 1.35, 24.0, 5.75, 1.0, 0, 0, 0, GAELIC
1.15068493151, 1.39310344828, 34.5, 5.23188405797, 1.0, 0, 0, 0, GAELIC
1.04347826087, 1.4, 10.0, 5.8, 1.0, 0, 0, 0, GAELIC
1.22222222222, 1.18181818182, 6.0, 3.83333333333, 1.0, 0, 0, 0, GAELIC
1.0625, 1.11764705882, 3.0, 11.3333333333, 1.0, 0, 0, 0, GAELIC
1.09523809524, 1.09523809524, 5.0, 8.8, 1.0, 0, 0, 0, GAELIC
1.0, 1.36363636364, 3.0, 7.66666666667, 1.0, 0, 0, 0, GAELIC
1.05882352941, 1.16666666667, 4.0, 9.25, 1.0, 0, 0, 0, GAELIC
1.12820512821, 3.20238095238, 28.5, 5.49122807018, 0, 1.0, 0, 0, KURDISH
1.0, 2.96153846154, 7.0, 6.5, 0, 0, 1.0, 0, SERBIAN
1.03921568627, 2.50602409639, 6.1, 4.27868852459, 0.0491803278689, 0, 0.983606557377, 0, SERBIAN
1.0, 2.82142857143, 20.0, 4.8, 0, 0, 1.0, 0, SERBIAN
1.0, 3.0, 2.0, 7.0, 0, 0, 1.0, 0, SERBIAN
1.0, 3.5, 6.0, 5.5, 0, 0, 1.0, 0, SERBIAN
1.0, 2.70212765957, 31.0, 4.96774193548, 0, 0, 1.0, 0, SERBIAN
1.0, 2.54545454545, 14.0, 5.0, 0, 0, 1.0, 0, SERBIAN
1.0, 2.64285714286, 24.0, 5.79166666667, 0, 0, 1.0, 0, SERBIAN
1.0, 3.32727272727, 19.0, 5.71052631579, 0, 0, 1.0, 0, SERBIAN
1.0, 2.6935483871, 18.5, 5.43243243243, 0, 0, 1.0, 0, SERBIAN
1.0, 2.25806451613, 17.0, 5.29411764706, 0, 0, 1.0, 0, SERBIAN
1.0, 2.47368421053, 28.0, 4.07142857143, 0, 0, 1.0, 0, SERBIAN
1.0, 2.77647058824, 20.0, 4.71666666667, 0, 0, 1.0, 0, SERBIAN
1.0, 2.52631578947, 27.0, 4.44444444444, 0, 0, 1.0, 0, SERBIAN
